"date","labels","important","count"
"2011-12","+Google",0,9
"2012-01","+Google",0,20
"2012-02","+Google",1,2
"2012-03","+Google",0,2
"2012-04","+Google",1,1
"2012-05","+Google",1,1
"2012-06","+Google",1,2
"2012-07","+Google",1,1
"2012-08","+Google",1,5
"2012-09","+Google",1,2
"2012-10","+Google",1,2
"2012-12","+Google",1,4
"2013-01","+Google",1,3
"2013-03","+Google",1,1
"2013-04","+Google",1,3
"2013-05","+Google",1,4
"2013-06","+Google",1,7
"2013-07","+Google",1,1
"2013-08","+Google",1,3
"2013-10","+Google",1,5
"2013-11","+Google",1,2
"2013-12","+Google",0,6
"2014-01","+Google",0,6
"2014-02","+Google",0,2
"2011-07","Apple",0,2
"2011-08","Apple",0,3
"2011-09","Apple",0,1
"2011-11","Apple",0,2
"2012-01","Apple",1,3
"2012-02","Apple",1,5
"2012-03","Apple",0,3
"2012-04","Apple",0,3
"2012-05","Apple",0,1
"2012-06","Apple",1,7
"2012-07","Apple",1,6
"2012-08","Apple",1,3
"2012-09","Apple",1,8
"2012-10","Apple",1,4
"2012-11","Apple",1,2
"2013-02","Apple",1,2
"2013-06","Apple",0,1
"2013-07","Apple",1,1
"2013-08","Apple",1,1
"2013-10","Apple",1,6
"2013-11","Apple",1,1
"2013-12","Apple",1,1
"2014-01","Apple",1,2
"2014-02","Apple",0,2
"2012-01","ATT",1,3
"2012-02","ATT",1,1
"2012-03","ATT",1,3
"2012-04","ATT",1,2
"2012-05","ATT",1,3
"2012-06","ATT",1,3
"2012-07","ATT",1,4
"2012-08","ATT",1,2
"2012-09","ATT",1,2
"2012-10","ATT",1,3
"2012-11","ATT",1,6
"2012-12","ATT",1,2
"2013-01","ATT",1,3
"2013-02","ATT",1,2
"2013-03","ATT",1,7
"2013-04","ATT",1,7
"2013-05","ATT",1,4
"2012-04","AugustGate",1,1
"2012-05","AugustGate",1,2
"2012-06","AugustGate",1,3
"2012-07","AugustGate",1,2
"2012-08","AugustGate",1,4
"2012-09","AugustGate",1,6
"2012-10","AugustGate",1,6
"2012-11","AugustGate",1,7
"2012-12","AugustGate",1,1
"2013-01","AugustGate",1,2
"2013-02","AugustGate",1,3
"2013-03","AugustGate",1,2
"2013-04","AugustGate",1,2
"2013-05","AugustGate",1,3
"2013-06","AugustGate",1,2
"2013-07","AugustGate",1,1
"2013-08","AugustGate",1,2
"2013-09","AugustGate",1,5
"2013-12","Bandwith",1,2
"2013-08","Bills",1,1
"2013-09","Bills",1,1
"2013-11","Bills",1,1
"2013-12","Bills",1,1
"2014-01","Bills",1,1
"2011-11","Bitbucket",0,2
"2012-04","Bitbucket",1,2
"2012-10","Bitbucket",1,1
"2012-11","Bitbucket",1,11
"2013-07","Bitbucket",1,4
"2013-08","Bitbucket",0,3
"2013-11","Bitbucket",1,3
"2014-01","Bitbucket",1,1
"2014-02","Boomerang-Outbox",0,1
"2011-12","Calendar",0,2
"2012-01","Calendar",0,77
"2012-02","Calendar",1,32
"2012-03","Calendar",0,59
"2012-04","Calendar",0,24
"2012-05","Calendar",0,35
"2012-06","Calendar",0,27
"2012-07","Calendar",0,35
"2012-08","Calendar",0,28
"2012-09","Calendar",0,26
"2012-10","Calendar",0,40
"2012-11","Calendar",0,45
"2012-12","Calendar",0,30
"2013-01","Calendar",0,28
"2013-02","Calendar",0,29
"2013-03","Calendar",1,35
"2013-04","Calendar",1,40
"2013-05","Calendar",1,44
"2013-06","Calendar",1,30
"2013-07","Calendar",1,33
"2013-08","Calendar",1,24
"2013-09","Calendar",1,29
"2013-10","Calendar",1,31
"2013-11","Calendar",1,39
"2013-12","Calendar",0,27
"2014-01","Calendar",0,19
"2014-02","Calendar",0,5
"2012-01","Chase",0,5
"2012-02","Chase",1,7
"2012-03","Chase",0,4
"2012-04","Chase",1,2
"2012-05","Chase",1,1
"2012-06","Chase",1,3
"2012-07","Chase",1,7
"2012-08","Chase",1,4
"2012-09","Chase",0,8
"2012-10","Chase",1,2
"2012-11","Chase",1,1
"2012-12","Chase",1,2
"2013-01","Chase",0,3
"2013-03","Chase",1,3
"2013-04","Chase",1,1
"2013-05","Chase",1,1
"2013-06","Chase",0,4
"2013-07","Chase",1,5
"2013-08","Chase",1,2
"2013-09","Chase",1,4
"2013-10","Chase",1,7
"2013-11","Chase",1,1
"2013-12","Chase",1,4
"2014-01","Chase",1,1
"2012-02","Cobblestone",1,23
"2012-03","Cobblestone",1,50
"2012-04","Cobblestone",1,64
"2012-05","Cobblestone",1,113
"2012-06","Cobblestone",1,55
"2012-07","Cobblestone",1,92
"2012-08","Cobblestone",1,126
"2012-09","Cobblestone",1,63
"2012-10","Cobblestone",1,40
"2012-11","Cobblestone",1,81
"2012-12","Cobblestone",1,83
"2013-01","Cobblestone",1,145
"2013-02","Cobblestone",1,85
"2013-03","Cobblestone",1,86
"2013-04","Cobblestone",1,90
"2013-05","Cobblestone",1,83
"2013-06","Cobblestone",1,67
"2013-07","Cobblestone",1,80
"2013-08","Cobblestone",1,101
"2013-09","Cobblestone",1,58
"2013-10","Cobblestone",1,36
"2013-11","Cobblestone",1,62
"2013-12","Cobblestone",1,34
"2014-01","Cobblestone",1,46
"2014-02","Cobblestone",1,15
"2012-10","Coursera",1,7
"2012-11","Coursera",0,8
"2012-12","Coursera",0,2
"2013-01","Coursera",0,2
"2013-02","Coursera",0,1
"2013-03","Coursera",0,2
"2013-05","Coursera",1,2
"2013-06","Coursera",1,4
"2013-07","Coursera",1,9
"2013-08","Coursera",1,10
"2013-09","Coursera",1,4
"2014-01","Coursera",1,2
"2012-04","Craigslist",1,2
"2012-09","Craigslist",1,1
"2012-12","Craigslist",1,2
"2013-04","Craigslist",1,1
"2013-08","Craigslist",0,1
"2013-09","Craigslist",1,3
"2013-12","Craigslist",0,9
"2012-03","Cron",1,1
"2012-04","Cron",0,39
"2012-11","Disqus",1,1
"2012-12","Disqus",1,1
"2012-01","Docs",1,5
"2012-04","Docs",1,8
"2012-05","Docs",1,17
"2012-06","Docs",1,7
"2012-07","Docs",1,4
"2012-08","Docs",1,3
"2012-09","Docs",1,1
"2012-10","Docs",1,1
"2012-11","Docs",1,8
"2012-12","Docs",1,16
"2013-01","Docs",1,3
"2013-02","Docs",1,9
"2013-03","Docs",0,9
"2013-05","Docs",0,5
"2013-06","Docs",1,4
"2013-07","Docs",1,16
"2013-08","Docs",0,12
"2013-09","Docs",1,1
"2013-10","Docs",1,3
"2013-11","Docs",1,4
"2013-12","Docs",1,5
"2014-01","Docs",0,7
"2014-02","Docs",0,4
"2011-12","Facebook",0,1
"2012-01","Facebook",1,35
"2012-02","Facebook",0,9
"2012-03","Facebook",0,34
"2012-04","Facebook",1,9
"2012-05","Facebook",1,7
"2012-06","Facebook",1,9
"2012-07","Facebook",1,25
"2012-08","Facebook",1,18
"2012-09","Facebook",1,20
"2012-10","Facebook",1,17
"2012-11","Facebook",1,24
"2012-12","Facebook",1,14
"2013-01","Facebook",1,13
"2013-02","Facebook",1,10
"2013-03","Facebook",1,18
"2013-04","Facebook",1,10
"2013-05","Facebook",1,22
"2013-06","Facebook",1,12
"2013-07","Facebook",1,15
"2013-08","Facebook",1,13
"2013-09","Facebook",1,8
"2013-10","Facebook",1,7
"2013-11","Facebook",1,15
"2013-12","Facebook",1,7
"2014-01","Facebook",1,8
"2014-02","Facebook",1,1
"2012-02","Github",1,5
"2012-03","Github",0,2
"2012-04","Github",1,1
"2012-05","Github",1,1
"2012-08","Github",1,4
"2012-09","Github",1,2
"2012-10","Github",1,3
"2012-11","Github",1,24
"2012-12","Github",1,9
"2013-01","Github",1,6
"2013-02","Github",1,2
"2013-03","Github",1,3
"2013-04","Github",1,1
"2013-05","Github",1,7
"2013-06","Github",0,2
"2013-07","Github",1,15
"2013-08","Github",1,2
"2013-09","Github",1,2
"2013-10","Github",1,3
"2013-11","Github",1,1
"2013-12","Github",1,3
"2014-01","Github",0,37
"2012-01","GoDaddy",0,5
"2012-02","GoDaddy",0,13
"2012-03","GoDaddy",0,24
"2012-04","GoDaddy",1,18
"2012-05","GoDaddy",0,20
"2012-06","GoDaddy",0,18
"2012-07","GoDaddy",1,8
"2012-08","GoDaddy",1,32
"2012-09","GoDaddy",1,9
"2012-10","GoDaddy",1,42
"2012-11","GoDaddy",1,13
"2012-12","GoDaddy",1,4
"2013-01","GoDaddy",1,16
"2013-02","GoDaddy",1,7
"2013-03","GoDaddy",1,1
"2013-04","GoDaddy",1,10
"2013-05","GoDaddy",1,16
"2013-06","GoDaddy",1,5
"2013-07","GoDaddy",0,4
"2013-08","GoDaddy",0,16
"2013-09","GoDaddy",0,18
"2013-10","GoDaddy",1,19
"2013-11","GoDaddy",0,30
"2013-12","GoDaddy",0,3
"2014-01","GoDaddy",0,21
"2014-02","GoDaddy",0,5
"2013-01","GoDaddy,Wordpress",0,1
"2011-12","GoogleVoice",0,3
"2012-01","GoogleVoice",0,12
"2012-02","GoogleVoice",1,11
"2012-03","GoogleVoice",0,5
"2012-04","GoogleVoice",1,4
"2012-05","GoogleVoice",1,3
"2012-06","GoogleVoice",0,5
"2012-07","GoogleVoice",1,4
"2012-08","GoogleVoice",1,1
"2012-09","GoogleVoice",1,1
"2012-10","GoogleVoice",1,1
"2012-11","GoogleVoice",1,5
"2012-12","GoogleVoice",1,15
"2013-01","GoogleVoice",1,2
"2013-02","GoogleVoice",1,5
"2013-03","GoogleVoice",1,1
"2013-04","GoogleVoice",1,6
"2013-12","GoogleVoice",1,10
"2013-04","GoogleVoice,Republic Wireless",0,1
"2013-05","GoogleVoice,Republic Wireless",0,1
"2011-03","Inbox",0,34
"2011-04","Inbox",0,32
"2011-05","Inbox",0,37
"2011-06","Inbox",1,61
"2011-07","Inbox",1,77
"2011-08","Inbox",0,46
"2011-09","Inbox",0,74
"2011-10","Inbox",1,74
"2011-11","Inbox",0,100
"2011-12","Inbox",1,74
"2012-01","Inbox",0,74
"2012-02","Inbox",1,50
"2012-03","Inbox",0,87
"2012-04","Inbox",1,96
"2012-05","Inbox",1,62
"2012-06","Inbox",1,90
"2012-07","Inbox",1,92
"2012-08","Inbox",1,67
"2012-09","Inbox",1,61
"2012-10","Inbox",1,53
"2012-11","Inbox",1,53
"2012-12","Inbox",1,59
"2013-01","Inbox",0,58
"2013-02","Inbox",1,58
"2013-03","Inbox",1,71
"2013-04","Inbox",1,68
"2013-05","Inbox",1,58
"2013-06","Inbox",0,77
"2013-07","Inbox",1,68
"2013-08","Inbox",0,90
"2013-09","Inbox",1,70
"2013-10","Inbox",1,94
"2013-11","Inbox",1,69
"2013-12","Inbox",1,84
"2014-01","Inbox",1,81
"2014-02","Inbox",1,19
"2014-01","Inbox,Starred",1,1
"2011-11","Junk",0,1
"2011-12","Junk",0,1
"2012-01","Junk",0,11
"2012-02","Junk",0,6
"2012-03","Junk",1,3
"2012-04","Junk",1,4
"2012-05","Junk",1,8
"2012-06","Junk",1,7
"2012-07","Junk",1,7
"2012-08","Junk",1,6
"2012-09","Junk",1,15
"2012-10","Junk",1,10
"2012-11","Junk",1,3
"2012-12","Junk",1,2
"2013-01","Junk",1,4
"2013-02","Junk",1,6
"2013-03","Junk",1,3
"2013-04","Junk",1,3
"2013-05","Junk",1,2
"2013-06","Junk",1,4
"2013-07","Junk",1,4
"2013-08","Junk",1,5
"2013-09","Junk",1,4
"2013-10","Junk",0,10
"2013-11","Junk",1,8
"2013-12","Junk",0,11
"2014-01","Junk",0,9
"2014-02","Junk",0,1
"2013-05","Junk,Inbox",1,1
"2013-06","Junk,Inbox",1,1
"2013-11","Junk,Inbox",0,1
"2012-01","Linkedin",0,55
"2012-02","Linkedin",1,33
"2012-03","Linkedin",0,13
"2012-04","Linkedin",1,9
"2012-05","Linkedin",1,13
"2012-06","Linkedin",1,15
"2012-07","Linkedin",0,18
"2012-08","Linkedin",1,16
"2012-09","Linkedin",1,18
"2012-10","Linkedin",1,22
"2012-11","Linkedin",1,21
"2012-12","Linkedin",1,13
"2013-01","Linkedin",1,22
"2013-02","Linkedin",1,10
"2013-03","Linkedin",1,16
"2013-04","Linkedin",1,12
"2013-05","Linkedin",1,19
"2013-06","Linkedin",1,16
"2013-07","Linkedin",1,18
"2013-08","Linkedin",1,14
"2013-09","Linkedin",1,20
"2013-10","Linkedin",1,10
"2013-11","Linkedin",1,9
"2013-12","Linkedin",0,9
"2014-01","Linkedin",1,29
"2014-02","Linkedin",1,9
"2012-01","Linkedin,Wordpress",1,28
"2012-02","Linkedin,Wordpress",1,15
"2012-06","Mailchimp",1,2
"2012-07","Mailchimp",0,1
"2012-08","Mailchimp",1,2
"2013-10","Mailchimp",1,2
"2013-12","Mailchimp",0,1
"2014-01","Mailchimp",1,2
"2012-08","Meetups",1,1
"2013-03","Meetups",1,1
"2013-05","Meetups",1,1
"2014-01","Meetups",1,23
"2014-02","Meetups",1,2
"2012-04","mojo",1,1
"2012-06","mojo",1,23
"2012-07","mojo",1,6
"2012-08","mojo",1,7
"2012-09","mojo",1,4
"2012-10","mojo",1,4
"2012-11","mojo",1,1
"2013-01","New Relic",1,7
"2013-02","New Relic",1,19
"2013-03","New Relic",1,14
"2013-04","New Relic",1,14
"2013-05","New Relic",1,52
"2013-06","New Relic",1,43
"2013-07","New Relic",1,13
"2013-08","New Relic",1,4
"2013-09","New Relic",1,11
"2013-10","New Relic",1,5
"2013-11","New Relic",1,10
"2013-12","New Relic",1,3
"2011-11","Nick",1,1
"2012-02","Nick",1,1
"2012-05","Nick",1,2
"2012-09","Nick",1,1
"2012-11","Nick",1,1
"2013-03","Nick",1,1
"2013-08","Nick",1,2
"2012-06","Pintrest",1,15
"2012-07","Pintrest",1,13
"2012-08","Pintrest",1,4
"2012-09","Pintrest",1,2
"2012-10","Pintrest",1,3
"2012-11","Pintrest",1,6
"2012-12","Pintrest",1,10
"2013-01","Pintrest",1,8
"2013-02","Pintrest",0,7
"2013-03","Pintrest",1,4
"2013-04","Pintrest",1,5
"2013-05","Pintrest",1,4
"2013-06","Pintrest",1,10
"2013-07","Pintrest",0,5
"2013-08","Pintrest",0,3
"2013-09","Pintrest",1,1
"2013-11","Pintrest",0,1
"2013-12","Pintrest",1,2
"2013-03","Pintrest,Inbox",0,1
"2013-04","Republic Wireless",1,8
"2013-05","Republic Wireless",1,5
"2013-06","Republic Wireless",1,4
"2013-07","Republic Wireless",0,1
"2013-08","Republic Wireless",0,2
"2013-09","Republic Wireless",1,2
"2013-10","Republic Wireless",0,3
"2013-11","Republic Wireless",0,3
"2013-12","Republic Wireless",1,5
"2014-01","Republic Wireless",0,3
"2012-03","Skype",1,1
"2013-06","SSCS",0,3
"2013-07","SSCS",0,9
"2013-08","SSCS",1,15
"2013-09","SSCS",1,7
"2013-10","SSCS",1,7
"2013-11","SSCS",1,14
"2013-12","SSCS",1,14
"2014-01","SSCS",1,16
"2014-02","SSCS",1,9
"2011-05","Twitter",0,12
"2011-06","Twitter",0,22
"2011-07","Twitter",0,4
"2011-08","Twitter",0,21
"2011-09","Twitter",0,6
"2011-10","Twitter",0,13
"2011-11","Twitter",0,17
"2011-12","Twitter",0,20
"2012-01","Twitter",0,23
"2012-02","Twitter",1,23
"2012-03","Twitter",0,23
"2012-04","Twitter",1,15
"2012-05","Twitter",1,30
"2012-06","Twitter",1,25
"2012-07","Twitter",1,39
"2012-08","Twitter",1,27
"2012-09","Twitter",1,41
"2012-10","Twitter",1,25
"2012-11","Twitter",1,14
"2012-12","Twitter",1,30
"2013-01","Twitter",1,50
"2013-02","Twitter",1,31
"2013-03","Twitter",1,40
"2013-04","Twitter",1,6
"2013-05","Twitter",1,19
"2013-06","Twitter",1,23
"2013-07","Twitter",1,15
"2013-08","Twitter",1,6
"2013-09","Twitter",0,16
"2013-10","Twitter",1,23
"2013-11","Twitter",1,18
"2013-12","Twitter",1,25
"2014-01","Twitter",1,24
"2014-02","Twitter",1,5
"2012-04","Ubuntu,Inbox",1,3
"2011-12","Unread",0,1
"2012-01","Unread",0,1
"2012-09","Unread",0,3
"2012-10","Unread",0,2
"2012-11","Unread",1,3
"2012-12","Unread",0,7
"2013-01","Unread",0,1
"2013-02","Unread",1,2
"2013-04","Unread",0,1
"2013-05","Unread",0,2
"2011-11","Wordpress",0,1
"2011-12","Wordpress",0,3
"2012-01","Wordpress",0,1
"2012-02","Wordpress",0,4
"2012-03","Wordpress",1,6
"2012-04","Wordpress",1,4
"2012-05","Wordpress",1,3
"2012-06","Wordpress",1,2
"2012-07","Wordpress",0,2
"2012-10","Wordpress",1,6
"2012-11","Wordpress",1,4
"2013-02","Wordpress",0,2
"2013-03","Wordpress",1,1
"2013-07","Wordpress",1,8
"2013-08","Wordpress",1,2
"2013-11","Wordpress",1,2
"2014-01","Wordpress",0,2
"2012-01","YouTube",1,2
"2012-02","YouTube",0,4
"2012-03","YouTube",1,2
"2012-04","YouTube",1,3
"2012-05","YouTube",1,2
"2012-06","YouTube",1,4
"2012-07","YouTube",1,4
"2012-08","YouTube",1,4
"2012-09","YouTube",1,2
"2012-10","YouTube",1,2